smiles,pAct_JNK1,pAct_JNK2,pAct_JNK3
O=C(Cc1cccc2cnccc12)Nc1ccsc1-c1cscn1,5.3,,
COC(=O)c1ncsc1NC(=O)Cc1cccc2cnccc12,,5.28,5.8
O=C(Cc1cccc2cnccc12)Nc1scnc1-c1nc[nH]n1,5.3,5.4399999999999995,5.695
Cn1ncnc1-c1ncsc1NC(=O)Cc1cccc2cnccc12,5.3,5.21,5.55
COC(=O)c1sccc1NC(=O)Cc1ccc(OC)cc1,,4.85,6.0
COC(=O)c1sccc1NC(=O)Cc1ccc(-c2ccncc2)cc1,,,6.16
COC(=O)c1sccc1NC(=O)Cc1ccc(-n2ccnc2)cc1,,,5.8
O=C(Cc1cccc2cnccc12)Nc1scnc1-c1cnccn1,5.3,5.5,
O=C(Cc1cccc2cnccc12)Nc1scnc1-c1cscn1,,,7.11
COC(=O)c1sccc1NC(=O)Cc1ccc(C(F)(F)F)cc1,,,5.16
COC(=O)c1sccc1NC(=O)Cc1ccc2ccccc2c1,,,5.41
COC(=O)c1sccc1NC(=O)Cc1cccc2ccccc12,,4.84,5.82
COC(=O)c1sccc1NC(=O)Cc1ccccc1-c1c[nH]nn1,,4.46,4.9
COC(=O)c1sccc1NC(=O)Cc1cccc2cnccc12,,5.51,6.21
COC(=O)c1sccc1NC(=O)Cc1cccc2ncccc12,,5.52,6.21
CC(C)OC(=O)c1sccc1NC(=O)Cc1ccccc1,,4.32,5.85
COCCNC(=O)c1sccc1NC(=O)Cc1ccccc1,,,5.42
COC(=O)c1sccc1NC(=O)Cc1cccs1,,4.654999999999999,5.66
COC(=O)c1sccc1NC(=O)Cc1ccccc1,,4.64,5.57
COC(=O)c1sccc1NC(=O)Cc1ccncc1,,,4.76
CC(=O)c1sccc1NC(=O)Cc1ccccc1,,,4.77
C/C(=N/O)c1sccc1NC(=O)Cc1ccccc1,,,4.54
CCOC(=O)c1sccc1NC(=O)Cc1ccccc1,,4.33,6.16
NC(=O)c1sccc1NC(=O)Cc1ccccc1,,,5.36
O=C1C(c2ccncc2)=C(O)c2ccccc21,,,5.17
CCOC(=O)CCC(NC(=O)c1ccc(NCN2C(=O)c3ccccc3C2=O)cc1)C(=O)OCC,,,4.88
O=C(c1ccc(Cn2c(=O)[nH]c3ccccc3c2=O)cc1)N1CCN(c2ccc(F)cc2)CC1,,,5.08
COc1cccc(C2=NOC(C(=O)NC3CCCCC3)C2)c1,,,4.46
Cn1c(C(=O)NCc2ccco2)cc2c(O)nc3ccccc3c21,,,4.5
CCn1cc(C2=NOC(C(=O)Nc3ccccc3C(=O)OC)C2)c(C)n1,,,5.72
COc1ccc(CC(=O)Nc2nc3ccccc3s2)cc1S(=O)(=O)N1CCOCC1,,,4.61
COC(=O)c1ccccc1NC(=O)C1CC(c2ccccc2O)=NO1,,,4.47
NC(=O)c1ccsc1NC(=O)c1ccc(S(=O)(=O)N2CCCCC2)cc1,,,5.05
C=C(C)COc1ccc(-c2nc(N)ncc2-c2ccc(OC)cc2)c(O)c1,,,4.53
COc1cccc(C2=NOC(C(=O)Nc3cccc(C(C)=O)c3)C2)c1,,,4.89
COC(=O)c1cc(Br)c(=O)n(Cc2ccncc2)c1,,,4.18
COc1ccc(OC)c(Nc2nc(N)nc(-c3cc4ccccc4o3)n2)c1,,,4.32
O=C(NCc1ccccn1)c1[nH]nc2ccccc12,,,4.55
O=C(Cn1cnc2ccccc2c1=O)Nc1ccc(-c2nnc3n2CCCCC3)cc1,,,4.53
O=C1CCCc2nn(-c3ccccc3)c(-c3ccncc3)c21,,,4.37
C=CCn1c(SCC(=O)Nc2sccc2C(N)=O)nc2sc(C)c(C)c2c1=O,,,5.1
CC(=O)Nc1ccc(S(=O)(=O)N2CCC(n3cnc4cc(F)ccc43)CC2)cc1,,,4.49
COC(=O)c1ccsc1NC(=O)C1=COCCO1,,,5.04
COc1ccc(-c2cnc(N)nc2-c2ccc(OC)cc2O)cc1,,,4.7
CCOc1ncccc1C(=O)Nc1cccc(C(=O)Nc2cccc(S(=O)(=O)CCO)c2)c1,,,5.25
Nc1nc(-c2ccccc2)cc(-c2ccccc2O)n1,,,4.39
O=C1c2ccccc2C(=O)C1c1ccncc1,,,4.74
C/C(Nc1cccc(F)c1)=C(/C#N)C(N)=O,,,4.98
Brc1ccc(-c2nn3c(-c4ccco4)nnc3s2)o1,,,4.24
COC(=O)c1ccccc1NC(=O)COc1ccccc1,,,4.54
NC(=O)c1c(NC(=O)Cc2cccs2)sc2c1CCC2,,,4.55
O=C(CCCn1c(=S)[nH]c2ccccc2c1=O)NCc1ccco1,,,4.31
Brc1ccc2nc3c(n2c1)CCCC3,,,4.86
CCN(CC)S(=O)(=O)c1ccc2[nH]c(COC(=O)c3[nH]nc4ccccc34)nc2c1,,,6.4
COc1cccc(NC(=O)CCCn2c(=O)[nH]c3ccccc3c2=O)c1,,,4.32
Cc1ccc(NC(=O)CCCCCC2NC(=O)NC2C)cc1,,,5.74
COc1cccc2c(O)c(C(=O)NCc3cccs3)cnc12,,,4.72
CC(Sc1ccc2ccccc2n1)C(=O)O,,,5.31
NC(=O)c1cc(Cc2ccccc2)sc1NC(=O)c1ccco1,,,5.34
COC(=O)c1cc(Br)c(=O)n(Cc2ccc(C(=O)O)cc2)c1,,,4.55
NC(=O)c1ccsc1NC(=O)C1CCCCC1,,,4.59
Cc1ccc(S(=O)(=O)NCCCCCC(=O)Nc2nccs2)cc1,,,4.34
Cc1oc2ccc(OCC(N)=O)cc2c1C(=O)OC(C)C,,,4.35
N#Cc1c(N)nc(SCc2ccncc2)c(C#N)c1-c1cccs1,,,4.26
NC(=O)c1ccsc1NC(=O)CSc1nc2ccccc2c(=O)n1CCCO,,,5.14
COc1cccc(C2=NOC(C(=O)Nc3cccnc3)C2)c1,,,4.9
CCc1cc(=O)oc2cc(C)cc(O)c12,,,4.49
CCn1ncc(C2=NOC(C(=O)Nc3ccccc3C(=O)OC)C2)c1C,,,5.74
CCOC(=O)c1ccccc1NC(=O)CN(c1ccccc1)S(=O)(=O)N(C)C,,,4.31
Cc1cccc(-n2ncc3c(NCc4cccs4)ncnc32)c1,,,4.14
O=C(Nc1ccccc1N1CCCC1)c1ccc(Br)o1,,,4.19
O=C(C1CCC(Cn2c(=S)[nH]c3ccccc3c2=O)CC1)N1CCN(c2ccccc2)CC1,,,6.03
COc1ccc(COC(=O)c2[nH]nc3ccccc23)cc1F,,,4.94
CCCc1nc(SCC(=O)Nc2cc(C)on2)c2ccccc2n1,,,4.08
Cc1ccccc1-n1nc(C)c2cc(C(=O)NCc3cccnc3)sc21,,,4.97
COc1cc(NC(=O)C2CC(c3cccc(OC)c3OC)=NO2)cc(OC)c1OC,,,5.38
CCOC(=O)c1cnc2ccc(Cl)cc2c1N1CCN(C)CC1,,,4.59
c1ccc(Nc2ccccc2Nc2ccccn2)nc1,,,4.73
NC(=O)c1ccsc1NC(=O)c1ccco1,,,4.98
CN1C=CC(=C2C(=O)c3ccccc3C2=O)C=C1,,,4.54
COc1cc(C(=O)NCc2cn3ccsc3n2)cc(OC)c1OC,,,4.28
O=C(CNC(=O)c1ccc(Br)o1)Nc1cccc(-c2cnc3ccccc3n2)c1,,,4.38
Cc1ccc(Nc2cc(-n3nc(C)cc3C)ncn2)cc1,,,4.87
c1ccc(-n2ncc3c(NCc4ccco4)ncnc32)cc1,,,4.21
O=Nc1c2[nH]c3ccccc3[n+]([O-])c-2c2ccccc12,,,5.47
Cc1cc(C)n(-c2ccc(C(=O)Nc3sccc3C(N)=O)cc2)n1,,,4.35
Cc1nn(C)cc1CNC(=O)c1cnn2c(C(F)F)cc(C3CC3)nc12,,,4.57
CCCN1C=CC(=C2C(=O)c3ccccc3C2=O)C=C1,,,5.01
O=C(NCc1nc2cc(Br)c[nH]c-2n1)c1ccccc1,,,4.42
COc1ccc(Cl)cc1-c1nnc(S)o1,,,4.79
Cc1ccc(C(=O)C2=C(O)C(=O)N(CCCn3ccnc3)C2c2ccc(OC(C)C)cc2)o1,,,4.43
CN(c1ccc(C(=O)Nc2nccs2)cc1)S(=O)(=O)c1ccccc1,,,4.33
CCOc1ccc(C(C)=O)cc1Cn1nc(C(=O)O)c2ccccc2c1=O,,,4.45
O=C(NCc1cccnc1)c1cccc2c1C(=O)N(C1CCCCC1)C2,,,4.56
Cc1nc(NCc2ccco2)c(C#N)c2c1COC(C)(C)C2,,,4.43
O=C1c2ccccc2-c2onc3ccc(NCCCn4ccnc4)c1c23,,,4.65
CCN1C=CC(=C2C(=O)c3ccccc3C2=O)C=C1,,,4.36
N#Cc1ccc(NC(=O)C2CC(c3ccc(F)cc3)=NO2)cc1,,,5.1
c1ccc2[nH]c3c4ccccc4nc-3nc2c1,,,4.86
Cc1ccccc1-n1c(SCc2cc(=O)n3ccccc3n2)nc2nncc-2c1O,,,4.38
O=C(Nc1ccccc1N1CCOCC1)c1ccc(Br)o1,,,5.2
CC(C)n1nc(C(=O)OCC(=O)N(C)C2CCS(=O)(=O)C2)c2ccccc2c1=O,,,4.45
CC1NC(=O)NC1CCCCCC(=O)NCCc1ccccc1,,,5.2
O=C(CCn1cnc2ccccc2c1=O)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,,,4.42
COc1ccc(CN/C(C)=C(/C#N)C(N)=O)cc1OC,,,5.08
CCOC(=O)CSc1nc2c(sc3ccccc32)c(=O)n1CCCN1CCOCC1,,,4.4
COc1cccc2c(O)c(C/C=C(/C)Cl)c(C)nc12,,,4.12
COC(=O)c1ccccc1NC(=O)CN1CCN(C(=O)c2ccco2)CC1,,,4.46
c1ccc(CNc2ncnc3c2cnn3-c2ccccc2)cc1,,,4.12
O=C(Nc1nncs1)c1ccc(N2C(=O)C3C4C=CC(C4)C3C2=O)cc1,,,4.2
CCCC(=O)Nc1cc(C)c2c(=O)oc3ccccc3c2n1,,,4.26
O=C(c1ccc(Cn2c(=O)[nH]c3ccccc3c2=O)cc1)N1CCN(c2ccc(Cl)cc2)CC1,,,4.06
N#CCCSc1ncnc2c1oc1ccccc12,,,4.56
COC(=O)c1sccc1NC(=O)c1csc(C)c1,,,4.41
COC(=O)c1ccccc1NC(=O)c1ccc(NS(C)(=O)=O)cc1,,,4.26
COc1ccc2c(Cl)c(C(N)=O)sc2c1,,,4.17
CCOc1ccc(CC(=O)Nc2c(C(N)=O)oc3ccccc23)cc1OCC,,,5.37
CCOc1cc(C2NC(=O)NC(C)=C2C(=O)OCc2ccccc2)ccc1O,,,4.46
CCCCC(=O)Nc1cccc(NC(=O)c2ccc(Br)o2)c1,,,4.42
COC(=O)c1ccccc1NC(=O)CSc1nc(N)cc(N)n1,,,4.93
CN1CCN(c2ccccc2NC(=O)c2ccc(Br)o2)CC1,,,4.99
CCN1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1,,,5.890000000000001
Cc1ccnc(NC(=O)CCCOc2cc(=O)n(C)c3ccccc23)c1,,,4.21
O=S(=O)(c1ccc2c(c1)OCCO2)N1CCC(n2cnc3cc(F)ccc32)CC1,,,4.31
Clc1ccc2[nH]c3c(c2c1)CCc1c[nH]nc1-3,,,5.67
O=C(CCCCCn1c(SCc2ccncc2)nc2ccccc2c1=O)NCc1ccco1,,,4.14
CCOc1ccc(-c2nc(N)ncc2-c2ccccc2)c(O)c1,,,4.9
CNC(=O)c1[nH]cnc1C(=O)Nc1cccc(OC)c1,,,4.3
COC(=O)c1sccc1NC(=O)c1ccc(OC)cc1,,,4.57
NC(=O)c1c(NC(=O)C2CCCO2)sc2c1CCC2,,,4.37
CC1=C(C(=O)OC2CCCCCCC2)C(c2ccc(O)cc2)NC(=O)N1,,,4.38
COc1ccc(C2=NOC(C(=O)Nc3ccc(C(C)=O)cc3)C2)cc1OC,,,4.49
COC(=O)c1ccccc1NC(=O)CN1CCC(NC(=O)c2ccccc2C)CC1,,,5.38
COc1cccc(OCC(=O)Nc2ccccc2C(N)=O)c1,,,4.26
Cc1cc(NC(=O)CSC2=Nc3ccccc3C3=NC(Cc4ccccc4)C(=O)N23)[nH]n1,,,4.95
COc1ccc(C(C)=O)cc1COC(=O)c1cc(C)oc1C,,,4.21
CCOC(=O)c1c(C)nsc1S,,,4.51
CC(=O)Nc1cccc(-c2nc3ccccc3c(=O)o2)c1,,,4.38
N#Cc1c(O)nc(SCC(=O)Nc2cccc(Cl)c2)nc1-c1ccco1,,,4.53
CC(=O)Nc1cc(OC(C)=O)c2nonc2c1OC(C)=O,,,4.33
O=C(C1CCC(Cn2c(=O)[nH]c3ccccc3c2=O)CC1)N1CCN(c2ccccc2)CC1,,,6.3
CC1=CC(=C2C(=O)c3ccccc3C2=O)C=C(C)N1C,,,4.38
Fc1cccc(Nc2cc(-n3cccn3)ncn2)c1,,,5.16
c1ccc(-n2nc3ccc4c[nH]nc4c3n2)cc1,,,4.37
O=C(C1CCC(Cn2c(=S)[nH]c3ccccc3c2=O)CC1)N1CCOCC1,,,4.78
COC(=O)c1ccccc1NC(=O)CN1CCC(C(=O)c2ccc3c(c2)OCCO3)CC1,,,4.62
O=c1c2ccccc2[nH]c(=S)n1Cc1cccnc1,,,4.62
O=C1NC(=O)c2c(NC(=O)C3CCCO3)cccc21,,,4.25
COC(=O)c1ccsc1NC(=O)C1COc2ccccc2O1,,,4.57
NC(=O)c1ccsc1NC(=O)C1CC1,,,4.48
O=C(CCCCCn1c(SCC(=O)c2ccccc2)nc2ccccc2c1=O)NCc1ccco1,,,4.41
CCOC(=O)c1ccccc1NC(=O)COc1ccccc1,,,4.53
CCOC(=O)c1c(-c2ccc(OC)cc2)n[nH]c1N,,,4.2
c1ccc(-c2onc3cc4c(cc23)OCCO4)cc1,,,4.3
O=C(CCCCCn1c(=S)[nH]c2ccccc2c1=O)N1CCC2(CC1)OCCO2,,,4.53
CCCc1cc(O)n2c(n1)nc1ccccc12,,,4.46
Cc1ccc2c(CC(=O)Nc3sccc3C(N)=O)coc2c1,,,4.68
COc1ccc(NC(=O)CCCCn2c(=O)[nH]c3ccccc3c2=O)cc1,,,4.26
COc1ccc(CC(=O)Nc2cc(C)ccn2)cc1,,,4.67
COC(=O)c1ccccc1NC(=O)C1CC(c2ccc(F)cc2)=NO1,,,5.04
COc1cc(CN/C(C)=C(\C#N)C(N)=O)cc(OC)c1OC,,,5.14
COc1cccc(C2=NOC(C(=O)Nc3ccc(OC)c(OC)c3)C2)c1,,,5.34
COC(=O)c1cc(Br)c(=O)n(Cc2ccc(OC)c(OC)c2)c1,,,5.17
CSCCC(Nc1ncnc2ccc(Br)cc12)C(=O)O.Cl,,,4.35
CCOc1ccccc1NC(=O)COc1cccc(-n2cnnn2)c1,,,4.16
COc1ccc(C(=O)n2nc(-c3ccccc3)nc2N)cc1OC,,,4.72
Cc1nc2cccc(C(=O)NCc3ccccc3)c2o1,,,4.34
O=C(c1ccc(Cn2c(=O)[nH]c3ccccc3c2=O)cc1)N1CCN(c2ccccc2)CC1,,,5.1
O=C(c1ccc(Cn2c(=O)[nH]c3ccccc3c2=O)cc1)N1CCN(c2ccccn2)CC1,,,4.98
COC(=O)c1sccc1NC(=O)C1CC=CCC1C(=O)O,,,4.7
O=C(CCCn1c(=S)[nH]c2ccccc2c1=O)NC1CCCC1,,,4.19
COc1cccc(C(=O)Nc2c(C(N)=O)oc3ccccc23)c1,,,4.49
Fc1cc2nccnc2cc1N1CCSCC1,,,4.3
Cc1cc(NC(=O)C2CC(c3ccc(F)cc3)=NO2)no1,,,4.55
COCCCNC(=O)c1ccc(Cn2c(=O)[nH]c3ccccc3c2=O)cc1,,,5.21
CCOC(=O)c1ccc(Cn2cnc3ccccc3c2=O)cc1,,,4.91
Fc1ccc2[nH]c3nc4ccccc4c-3nc2c1,,,4.74
CCn1nc(-c2ccccc2)nc2c(=O)n(C)c(=O)nc1-2,,,4.44
COC(=O)c1ccccc1NC(=O)CN1C(=O)C2CCCN2c2ncc(Cl)cc21,,,4.74
C/C(Nc1ccc(F)cc1)=C(/C#N)C(N)=O,,,4.57
Cn1c(=O)c2c(-c3ccccc3)n3c4ccccc4ncc3c2n(C)c1=O,,,5.03
N#Cc1c(O)nc(SCc2ccc(F)cc2)nc1-c1ccco1,,,4.87
O=C(Nc1ncc([N+](=O)[O-])s1)c1cccc([N+](=O)[O-])c1,,5.11,
O=c1c2c(nc3n1CCCCC3)sc1c(O)cccc12,,,4.25
CS(=O)(=O)N1CCN(c2ccccc2NC(=O)CSc2ccc(Cl)cc2)CC1,,,4.04
NC(=O)c1ccsc1NC(=O)COc1ccccc1,,,4.42
COc1ccc2c(c1)c1ncn(Cc3ccco3)c(=O)c1n2C,,,4.05
COc1ccc(CC(=O)Nc2nc(C)cs2)cc1OC,,,4.55
Cn1c(C(=O)N2CCN(Cc3ccc4c(c3)OCO4)CC2)cc2c(=O)n(C)c3ccccc3c21,,,4.14
Cn1nnnc1SCc1ccc(C(=O)Nc2nccs2)cc1,,,4.25
COc1cc(C(=O)NCc2cn3ccccc3n2)cc(OC)c1OC,,,5.1
CCOC(=O)C1CCN(C(=O)CCCCn2c(=O)[nH]c3ccccc3c2=O)CC1,,,4.54
COc1cccc(C2=NOC(C(=O)Nc3ccc(C(C)=O)cc3)C2)c1,,,5.1
CC1=CC(=C2C(=O)c3ccccc3C2=O)C=C(C)N1Cc1ccco1,,,4.64
CCc1ccc(-n2c(SCC(=O)Nc3cc(C)[nH]n3)nc3nncc-3c2O)cc1,,,5.39
Br.CC(=O)c1sc(Nc2ccccn2)nc1C,,,4.39
O=C(CCn1cnc2ccccc2c1=O)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,,,4.42
COC(=O)c1cc(Br)c(=O)n(-c2nccs2)c1,,,4.11
O=C(COC(=O)c1[nH]nc2ccccc12)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,,,5.17
COC(=O)c1ccccc1NC(=O)COC(=O)c1ccco1,,,4.25
COC(=O)c1sccc1NC(=O)c1ccc(Br)o1,,,4.7
CC(=O)c1ccc(NC(=O)C2CC(c3ccc(F)cc3)=NO2)cc1,,,5.16
CCCC(=O)Nc1ccc(Cl)c(NC(=O)c2ccc(Br)o2)c1,,,4.43
COC(=O)c1sccc1NC(=O)CN1CCN(c2ccc(F)cc2)CC1,,,4.81
COC(=O)c1c(NC(=O)Cc2cccs2)sc(C)c1C,,,4.46
CCCc1nc(SCC(=O)N2CCCC2)c2ccccc2n1,,,4.3
N#Cc1c(NCc2ccccc2)ccnc1NCc1cccnc1,,,5.4
COc1cccc(C2=NOC(C(=O)Nc3cccc(C(C)=O)c3)C2)c1OC,,,4.61
Cc1ccccc1-c1nnc(S)o1,,,4.26
CCOC(=O)N1CCN(C(=O)C2CCC(Cn3c(=S)[nH]c4ccccc4c3=O)CC2)CC1,,,5.49
CCCn1cc(NC(=O)C2CC(c3cccc(Br)c3)=NO2)cn1,,,5.13
CCC1S/C(=C(\C#N)C(N)=O)N(c2ccc(F)cc2)C1=O,,,4.49
COc1cc(NC(=O)c2ccc(COc3ccccc3Br)o2)cc(OC)c1OC,,,4.48
COc1ccccc1NC(=O)COc1ccc(CO)cc1Cl,,,4.16
Cc1cn(S(=O)(=O)c2ccc(Br)c3ccccc23)cn1,,,4.81
CCCN1Cc2cccc(C(=O)NCc3ccccc3)c2C1=O,,,4.24
c1ccc(-c2[nH]nc3c2CCC3)cc1,,,4.29
C/C(NC1CCCC1)=C(/C#N)C(N)=O,,,4.48
Cc1nc(SCCC(=O)O)c2ccccc2n1,,,5.22
O=C(NCc1nc2ccccc2[nH]1)c1cccs1,,,4.37
COc1ccc(C(C)=O)cc1COC(=O)c1c(C)noc1C,,,4.4
COc1ccc(-c2c(C#N)c(S)nc3c2CCC3)cc1,,,4.75
Cc1cc(NC(=O)COC(=O)c2[nH]nc3ccccc23)no1,,,4.2
COC(=O)c1ccccc1NC(=O)CN1CCC(NC(=O)c2ccc(C)cc2)CC1,,,5.5
COC(=O)c1ccccc1NC(=O)CSc1ccccn1,,,4.45
O=C(O)CCSc1ccc2ccccc2n1,,,4.46
COC(=O)c1cccc(NC(=O)CN2CCC(NC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)c1,,,5.77
NC(=O)c1oc2ccccc2c1NC(=O)c1ccc(F)cc1,,,4.62
CCOc1ccc(C(=O)Nc2c(C(N)=O)oc3ccccc23)cc1,,,4.46
COC(=O)c1cccc(Cn2nnc3ccccc3c2=O)c1,,,4.1
Cc1ccc(Nc2cc(-n3nc(C)cc3C)ncn2)c(C)c1,,,4.75
N#Cc1sc2nc3c(c(-c4ccco4)c2c1N)CCCC3,,,4.16
Cc1cc(C(F)F)n2ncc(C(=O)NCc3ccccc3C(F)(F)F)c2n1,,,4.58
COc1ccc2nc(NC(=O)Cc3ccc(OC)c(S(=O)(=O)N4CCOCC4)c3)sc2c1,,,4.55
COc1ccc(COC(=O)C2=C(C)NC(=O)NC2c2ccc(O)c(OC)c2)cc1,,,4.47
CCOC(=O)c1ccccc1NC(=O)CSc1ncc(C(=O)OCC)c(N)n1,,,5.18
Cc1ccccc1Nc1nn2c(=O)c3ccccc3nc2s1,,,4.41
CCCOc1ccc(C2C(C(=O)c3ccc(C)o3)=C(O)C(=O)N2CCCn2ccnc2)cc1,,,4.71
NC(=O)c1ccsc1NC(=O)c1cccs1,,,5.58
COC(=O)c1ccsc1NC(=O)CN1CCN(c2ccc(F)cc2)CC1,,,4.81
COC(=O)c1c(C#N)c(N)nc2c1CCCC2,,,4.22
NC(=O)c1oc2ccccc2c1NC(=O)c1ccco1,,,5.0
O=C(CSc1ncccc1-c1nc2ccccc2[nH]1)N1CCN(c2ccccc2F)CC1,,,4.25
O=C1NC2=C(C(=O)c3ccccc32)C(c2ccccc2)N1,,,4.42
Cc1nc(CSc2nc3nncc-3c(O)n2-c2ccccc2)cs1,,,6.09
O=C1c2ccccc2-c2onc3ccc(NCc4ccco4)c1c23,,,4.62
Cc1ccc2nc(Cc3ccc(N)cc3)oc2c1,,,4.3
CCOC(=O)CSc1nc2ccccc2c(=O)n1CCCCCC(=O)NCc1ccco1,,,4.36
CCCCC(=O)Nc1ncc(Br)s1,,,4.26
CCCCC(=O)Nc1sc2c(c1C(N)=O)CCC2,,,4.79
Cc1ccc(C)c(N2CCN(C(=O)c3ccc(Cn4c(=O)[nH]c5ccccc5c4=O)cc3)CC2)c1,,,4.17
CCOC(=O)c1c(-c2ccccc2)[nH]c2ccc(O)cc12,,,4.65
Cc1ccc2[nH]c3c(c2c1)CCc1c[nH]nc1-3,,,4.78
COc1cc(CC(=O)Nc2ncc(C)s2)cc(OC)c1OC,,,4.88
COC(=O)c1cc(Br)c(=O)n(Cc2ccc3c(c2)OCO3)c1,,,5.17
COc1cccc(C2=NOC(C(=O)Nc3cc(OC)c(OC)c(OC)c3)C2)c1,,,5.69
COC(=O)c1sccc1NC(=O)c1ccncc1,,,4.48
NC(=O)c1cc(Br)cc2c3c([nH]c12)CCCC3,,,4.9
NC(=O)c1ccsc1NC(=O)Cc1ccc([N+](=O)[O-])cc1,5.54,,
Cc1ccc(NC(=O)C2CC(c3ccc(F)cc3)=NO2)cc1,,,4.49
CC(=O)c1c(C)[nH]c(C(=O)OCn2nnc3ccccc3c2=O)c1C,,,4.47
CCCN1Cc2cccc(C(=O)NCc3ccc4c(c3)OCO4)c2C1=O,,,4.5
O=C(CCCCCn1c(=O)[nH]c2ccccc2c1=O)NCCCN1CCN(c2ccccc2F)CC1,,,4.45
COc1ccc(S(=O)(=O)N2CCC(n3cnc4cc(C(F)(F)F)ccc43)CC2)cc1,,,4.26
COCCNC(=O)C1CCC(Cn2c(=S)[nH]c3ccccc3c2=O)CC1,,,5.01
COc1cc(CC(=O)Nc2sccc2C(N)=O)cc(OC)c1OC,,,5.23
COc1ccc(C(=O)NCc2nc3ccccc3[nH]2)cc1OC,,,4.63
CS(=O)(=O)N1CCN(c2ccccc2NC(=O)Cc2ccccc2)CC1,,,4.16
COC(=O)c1c(-c2cccs2)csc1NC(=O)CN1CCOCC1,,,4.25
O=c1[nH]c(=S)c2c(n1-c1ccccc1)CCC2,,,4.12
Cc1sc(NC(=O)c2cccs2)c(C(N)=O)c1C,,,4.51
CNC(=O)c1ccsc1NC(=O)c1ccccc1,,,5.26
Oc1nc2ccccc2c2nc3ccccn3c12,,,4.86
O=C1c2ccccc2NC2=NCCCCN12,,,4.4
COc1cc(C2NC(=O)NC(C)=C2C(=O)OC2CCCC(C)C2)ccc1O,,,4.4
O=C(Nc1cccnc1)C1CC(c2ccc(Cl)c(Cl)c2)=NO1,,,4.64
O=C1Nc2cccnc2Sc2ccccc21,,,5.3
Cc1csc(NC(=O)CN2C(=O)CCc3ccccc32)c1-c1ncn[nH]1,,,7.6
COCCOc1cncc(-c2cc3c(ccc4c5c([nH]c43)CCNC5=O)cn2)c1,,6.19,
